Name,Order,Family
Notechis,Squamata,Elapidae
Anolis,Squamata,Dactyloidae
Chelus,Testudines,Chelidae
Elgaria,Squamata,Anguidae
Terrapene,Testudines,Emydidae
Nerodia,Squamata,Colubridae
Agkistrodon,Squamata,Viperidae
Hydrophis,Squamata,Elapidae
Naja,Squamata,Elapidae
Vipera,Squamata,Viperidae
Varanus,Squamata,Varanidae
Malayopython,Squamata,Pythonidae
Morelia,Squamata,Pythonidae
Heterodon,Squamata,Colubridae
Gloydius,Squamata,Viperidae
Lampropeltis,Squamata,Colubridae
Crotalus,Squamata,Viperidae
Drymarchon,Squamata,Colubridae
Apalone,Testudines,Trionychidae
Lampropeltis,Squamata,Colubridae
Pseudemys,Testudines,Emydidae
Naja,Squamata,Elapidae
Dispholidus,Squamata,Colubridae
Thamnophis,Squamata,Colubridae
Pseudechis,Squamata,Elapidae
Trioceros,Squamata,Chamaeleonidae
Boiga,Squamata,Colubridae
Coluber,Squamata,Colubridae
Lampropeltis,Squamata,Colubridae
Thamnophis,Squamata,Colubridae
Ptyas,Squamata,Colubridae
Heloderma,Squamata,Helodermatidae
Laticauda,Squamata,Elapidae
Apalone,Testudines,Trionychidae
Zootoca,Squamata,Lacertidae
Bitis,Squamata,Viperidae
Opheodrys,Squamata,Colubridae
Coluber,Squamata,Colubridae
Nerodia,Squamata,Colubridae
Anolis,Squamata,Dactyloidae
Natrix,Squamata,Colubridae
Boiga,Squamata,Colubridae
Zamenis,Squamata,Colubridae
Anguis,Squamata,Anguidae
Lampropeltis,Squamata,Colubridae
Eolophus,Psittaciformes,Cacatuidae
Antigone,Gruiformes,Gruidae
Cyanopsitta,Psittaciformes,Psittacidae
Corvus,Passeriformes,Corvidae
Gyps,Accipitriformes,Accipitridae
Alopochen,Anseriformes,Anatidae
Leucogeranus,Gruiformes,Gruidae
Turdus,Passeriformes,Turdidae
Grus,Gruiformes,Gruidae
Pinguinus,Charadriiformes,Alcidae
Ara,Psittaciformes,Psittacidae
Spilopelia,Columbiformes,Columbidae
Aptenodytes,Sphenisciformes,Spheniscidae
Haliaeetus,Accipitriformes,Accipitridae
Cacatua,Psittaciformes,Cacatuidae
Cacatua,Psittaciformes,Cacatuidae
Sialia,Passeriformes,Turdidae
Eudyptula,Sphenisciformes,Spheniscidae
Corvus,Passeriformes,Corvidae
Paroaria,Passeriformes,Thraupidae
Anodorhynchus,Psittaciformes,Psittacidae
Ara,Psittaciformes,Psittacidae
Nymphicus,Psittaciformes,Cacatuidae
Ardea,Pelecaniformes,Ardeidae
Callocephalon,Psittaciformes,Cacatuidae
Gyps,Accipitriformes,Accipitridae
Sialia,Passeriformes,Turdidae
Cygnus,Anseriformes,Anatidae
Buteo,Accipitriformes,Accipitridae
Alcedo,Coraciiformes,Alcedinidae
Aquila,Accipitriformes,Accipitridae
Lophochroa,Psittaciformes,Cacatuidae
Phoenicopterus,Phoenicopteriformes,Phoenicopteridae
Balearica,Gruiformes,Gruidae
Phoenicoparrus,Phoenicopteriformes,Phoenicopteridae
Grus,Gruiformes,Gruidae
Ceyx,Coraciiformes,Alcedinidae
Buteo,Accipitriformes,Accipitridae
Diphyllodes,Passeriformes,Paradisaeidae
Diomedea,Procellariiformes,Diomedeidae
Megaceryle,Coraciiformes,Alcedinidae
Eolophus,Psittaciformes,Cacatuidae
Antigone,Gruiformes,Gruidae
Cyanopsitta,Psittaciformes,Psittacidae
Corvus,Passeriformes,Corvidae
Gyps,Accipitriformes,Accipitridae
Alopochen,Anseriformes,Anatidae
Leucogeranus,Gruiformes,Gruidae
Turdus,Passeriformes,Turdidae
Grus,Gruiformes,Gruidae
Pinguinus,Charadriiformes,Alcidae
Ara,Psittaciformes,Psittacidae
Spilopelia,Columbiformes,Columbidae
Aptenodytes,Sphenisciformes,Spheniscidae
Haliaeetus,Accipitriformes,Accipitridae
Cacatua,Psittaciformes,Cacatuidae
Cacatua,Psittaciformes,Cacatuidae
Sialia,Passeriformes,Turdidae
Eudyptula,Sphenisciformes,Spheniscidae
Corvus,Passeriformes,Corvidae
Paroaria,Passeriformes,Thraupidae
Anodorhynchus,Psittaciformes,Psittacidae
Ara,Psittaciformes,Psittacidae
Nymphicus,Psittaciformes,Cacatuidae
Ardea,Pelecaniformes,Ardeidae
Callocephalon,Psittaciformes,Cacatuidae
Gyps,Accipitriformes,Accipitridae
Sialia,Passeriformes,Turdidae
Cygnus,Anseriformes,Anatidae
Buteo,Accipitriformes,Accipitridae
Alcedo,Coraciiformes,Alcedinidae
Aquila,Accipitriformes,Accipitridae
Lophochroa,Psittaciformes,Cacatuidae
Phoenicopterus,Phoenicopteriformes,Phoenicopteridae
Balearica,Gruiformes,Gruidae
Phoenicoparrus,Phoenicopteriformes,Phoenicopteridae
Grus,Gruiformes,Gruidae
Ceyx,Coraciiformes,Alcedinidae
Buteo,Accipitriformes,Accipitridae
Diphyllodes,Passeriformes,Paradisaeidae
Diomedea,Procellariiformes,Diomedeidae
Megaceryle,Coraciiformes,Alcedinidae
Probosciger,Psittaciformes,Cacatuidae
Aix,Anseriformes,Anatidae
Geopelia,Columbiformes,Columbidae
Torgos,Accipitriformes,Accipitridae
Amazona,Psittaciformes,Psittacidae
Aix,Anseriformes,Anatidae
Gyps,Accipitriformes,Accipitridae
Paradisaea,Passeriformes,Paradisaeidae
Gygis,Charadriiformes,Laridae
Cygnus,Anseriformes,Anatidae
Merops,Coraciiformes,Meropidae
Columba,Columbiformes,Columbidae
Gyps,Accipitriformes,Accipitridae
Phoenicopterus,Phoenicopteriformes,Phoenicopteridae
Sarcoramphus,Accipitriformes,Cathartidae
Ardeotis,Otidiformes,Otididae
Phoenicopterus,Phoenicopteriformes,Phoenicopteridae
Cacatua,Psittaciformes,Cacatuidae
Grus,Gruiformes,Gruidae
Corythornis,Coraciiformes,Alcedinidae
Ardea,Pelecaniformes,Ardeidae
Phoenicoparrus,Phoenicopteriformes,Phoenicopteridae
Calyptorhynchus,Psittaciformes,Cacatuidae
Ardea,Pelecaniformes,Ardeidae
Balearica,Gruiformes,Gruidae
Amazona,Psittaciformes,Psittacidae
Gallicolumba,Columbiformes,Columbidae
Cicinnurus,Passeriformes,Paradisaeidae
Dromaius,Casuariiformes,Casuariidae
Neophron,Accipitriformes,Accipitridae
Sterna,Charadriiformes,Laridae
Sternula,Charadriiformes,Laridae
Zenaida,Columbiformes,Columbidae
Anodorhynchus,Psittaciformes,Psittacidae
Passerina,Passeriformes,Cardinalidae
Pelecanus,Pelecaniformes,Pelecanidae
Amazona,Psittaciformes,Psittacidae
Dumetella,Passeriformes,Mimidae
Cygnus,Anseriformes,Anatidae
Pelecanus,Pelecaniformes,Pelecanidae
Ceryle,Coraciiformes,Alcedinidae
Cardinalis,Passeriformes,Cardinalidae
Antigone,Gruiformes,Gruidae
Necrosyrtes,Accipitriformes,Accipitridae
Cygnus,Anseriformes,Anatidae
Ara,Psittaciformes,Psittacidae
Bubulcus,Pelecaniformes,Ardeidae
Gymnogyps,Accipitriformes,Cathartidae
Coragyps,Accipitriformes,Cathartidae
Caracara,Falconiformes,Falconidae
Sialia,Passeriformes,Turdidae
Grus,Gruiformes,Gruidae
Ara,Psittaciformes,Psittacidae
Casuarius,Casuariiformes,Casuariidae
Bubo,Strigiformes,Strigidae
Regulus,Passeriformes,Regulidae
Megaceryle,Coraciiformes,Alcedinidae
Antigone,Gruiformes,Gruidae
Spheniscus,Sphenisciformes,Spheniscidae
Ciconia,Ciconiiformes,Ciconiidae
Ptilonorhynchus,Passeriformes,Ptilonorhynchidae
Anser,Anseriformes,Anatidae
Phoenicoparrus,Phoenicopteriformes,Phoenicopteridae
Eudyptes,Sphenisciformes,Spheniscidae
Pelecanus,Pelecaniformes,Pelecanidae
Branta,Anseriformes,Anatidae
Ptilinopus,Columbiformes,Columbidae
Amazona,Psittaciformes,Psittacidae
Calyptorhynchus,Psittaciformes,Cacatuidae
Asarcornis,Anseriformes,Anatidae
Cereopsis,Anseriformes,Anatidae
Otis,Otidiformes,Otididae
Icteria,Passeriformes,Icteridae
Anhinga,Suliformes,Anhingidae
Cacatua,Psittaciformes,Cacatuidae
Phalacrocorax,Suliformes,Phalacrocoracidae
Phalacrocorax,Suliformes,Phalacrocoracidae
Streptopelia,Columbiformes,Columbidae
Cygnus,Anseriformes,Anatidae
Larosterna,Charadriiformes,Laridae
Nycticorax,Pelecaniformes,Ardeidae
Todiramphus,Coraciiformes,Alcedinidae
Plectrophenax,Passeriformes,Calcariidae
Butorides,Pelecaniformes,Ardeidae
Amazona,Psittaciformes,Psittacidae
Calamospiza,Passeriformes,Emberizidae
Egretta,Pelecaniformes,Ardeidae
Branta,Anseriformes,Anatidae
Fulica,Gruiformes,Rallidae
Buteo,Accipitriformes,Accipitridae
Cygnus,Anseriformes,Anatidae
Poecile,Passeriformes,Paridae
Egretta,Pelecaniformes,Ardeidae
Hymenolaimus,Anseriformes,Anatidae
Spheniscus,Sphenisciformes,Spheniscidae
Loxia,Passeriformes,Fringillidae
Ciconia,Ciconiiformes,Ciconiidae
Chordeiles,Caprimulgiformes,Caprimulgidae
Eudyptes,Sphenisciformes,Spheniscidae
Botaurus,Pelecaniformes,Ardeidae
Coccyzus,Cuculiformes,Cuculidae
Pelecanus,Pelecaniformes,Pelecanidae
Amazona,Psittaciformes,Psittacidae
Struthio,Struthioniformes,Struthionidae
Eudyptes,Sphenisciformes,Spheniscidae
Dolichonyx,Passeriformes,Icteridae
Cathartes,Accipitriformes,Cathartidae
Phalacrocorax,Suliformes,Phalacrocoracidae
Grus,Gruiformes,Gruidae
Amaurornis,Gruiformes,Rallidae
Pygoscelis,Sphenisciformes,Spheniscidae
Megadyptes,Sphenisciformes,Spheniscidae
Antigone,Gruiformes,Gruidae
Phoebastria,Procellariiformes,Diomedeidae
Spheniscus,Sphenisciformes,Spheniscidae
Eudyptes,Sphenisciformes,Spheniscidae
Spheniscus,Sphenisciformes,Spheniscidae
Sternula,Charadriiformes,Laridae
Calyptomena,Passeriformes,Eurylaimidae
Sterna,Charadriiformes,Laridae
Aptenodytes,Sphenisciformes,Spheniscidae
Phoebastria,Procellariiformes,Diomedeidae
Thalassarche,Procellariiformes,Diomedeidae
Eudyptes,Sphenisciformes,Spheniscidae
Xanthocephalus,Passeriformes,Icteridae
Pelecanus,Pelecaniformes,Pelecanidae
Nyctanassa,Pelecaniformes,Ardeidae
Egretta,Pelecaniformes,Ardeidae
Onychoprion,Charadriiformes,Laridae
Thalasseus,Charadriiformes,Laridae
Pygoscelis,Sphenisciformes,Spheniscidae
Pygoscelis,Sphenisciformes,Spheniscidae
Anser,Anseriformes,Anatidae
Columbina,Columbiformes,Columbidae
Certhia,Passeriformes,Certhiidae
Sterna,Charadriiformes,Laridae
Ixobrychus,Pelecaniformes,Ardeidae
Phoebastria,Procellariiformes,Diomedeidae
Callipepla,Galliformes,Odontophoridae
Burhinus,Charadriiformes,Burhinidae
Numenius,Charadriiformes,Scolopacidae
Eudyptes,Sphenisciformes,Spheniscidae
Recurvirostra,Charadriiformes,Recurvirostridae
Spinus,Passeriformes,Fringillidae
Chlidonias,Charadriiformes,Laridae
Centrocercus,Galliformes,Phasianidae
Agelaius,Passeriformes,Icteridae
Anas,Anseriformes,Anatidae
Corvus,Passeriformes,Corvidae
Oreoica,Passeriformes,Oreoicidae
Molothrus,Passeriformes,Icteridae
Colinus,Galliformes,Odontophoridae
Phalacrocorax,Suliformes,Phalacrocoracidae
Centrocercus,Galliformes,Phasianidae
Bubo,Strigiformes,Strigidae
Haliaeetus,Accipitriformes,Accipitridae
Falco,Falconiformes,Falconidae
Harpia,Accipitriformes,Accipitridae
Polemaetus,Accipitriformes,Accipitridae
Aquila,Accipitriformes,Accipitridae
Bubo,Strigiformes,Strigidae
Pithecophaga,Accipitriformes,Accipitridae
Haliaeetus,Accipitriformes,Accipitridae
Falco,Falconiformes,Falconidae
Haliaeetus,Accipitriformes,Accipitridae
Stephanoaetus,Accipitriformes,Accipitridae
Malurus,Passeriformes,Maluridae
Spinus,Passeriformes,Fringillidae
Carduelis,Passeriformes,Fringillidae
Falco,Falconiformes,Falconidae
Egretta,Pelecaniformes,Ardeidae
Falco,Falconiformes,Falconidae
Falco,Falconiformes,Falconidae
Erythrura,Passeriformes,Estrildidae
Egretta,Pelecaniformes,Ardeidae
Fregata,Suliformes,Fregatidae
Porphyrio,Gruiformes,Rallidae
Anas,Anseriformes,Anatidae
Numida,Galliformes,Numididae
Fulmarus,Procellariiformes,Procellariidae
Anas,Anseriformes,Anatidae
Branta,Anseriformes,Anatidae
Anser,Anseriformes,Anatidae
Falco,Falconiformes,Falconidae
Falco,Falconiformes,Falconidae
Falco,Falconiformes,Falconidae
Anas,Anseriformes,Anatidae
Podargus,Caprimulgiformes,Podargidae
Terathopius,Accipitriformes,Accipitridae
Chroicocephalus,Charadriiformes,Laridae
Quiscalus,Passeriformes,Icteridae
Anser,Anseriformes,Anatidae
Tachybaptus,Podicipediformes,Podicipedidae
Morus,Suliformes,Sulidae
Somateria,Anseriformes,Anatidae
Malurus,Passeriformes,Maluridae
Limosa,Charadriiformes,Scolopacidae
Podiceps,Podicipediformes,Podicipedidae
Aythya,Anseriformes,Anatidae
Buceros,Bucerotiformes,Bucerotidae
Pagophila,Charadriiformes,Laridae
Mellisuga,Apodiformes,Trochilidae
Oxyura,Anseriformes,Anatidae
Pheucticus,Passeriformes,Cardinalidae
Falco,Falconiformes,Falconidae
Colaptes,Piciformes,Picidae
Leucophaeus,Charadriiformes,Laridae
Clangula,Anseriformes,Anatidae
Anser,Anseriformes,Anatidae
Threskiornis,Pelecaniformes,Threskiornithidae
Buteogallus,Accipitriformes,Accipitridae
Larus,Charadriiformes,Laridae
Calypte,Apodiformes,Trochilidae
Opisthocomus,Opisthocomiformes,Opisthocomidae
Pyrocephalus,Passeriformes,Tyrannidae
Taeniopygia,Passeriformes,Estrildidae
Empidonax,Passeriformes,Tyrannidae
Anser,Anseriformes,Anatidae
Histrionicus,Anseriformes,Anatidae
Passerina,Passeriformes,Cardinalidae
Archilochus,Apodiformes,Trochilidae
Cyanocitta,Passeriformes,Corvidae
Cairina,Anseriformes,Anatidae
Larus,Charadriiformes,Laridae
Selasphorus,Apodiformes,Trochilidae
Buteo,Accipitriformes,Accipitridae
Accipiter,Accipitriformes,Accipitridae
Buteo,Accipitriformes,Accipitridae
Bonasa,Galliformes,Phasianidae
Aythya,Anseriformes,Anatidae
Archilochus,Apodiformes,Trochilidae
Podilymbus,Podicipediformes,Podicipedidae
Milvus,Accipitriformes,Accipitridae
Plegadis,Pelecaniformes,Threskiornithidae
Surnia,Strigiformes,Strigidae
Buceros,Bucerotiformes,Bucerotidae
Neochmia,Passeriformes,Estrildidae
Parabuteo,Accipitriformes,Accipitridae
Selasphorus,Apodiformes,Trochilidae
Vanellus,Charadriiformes,Charadriidae
Buteo,Accipitriformes,Accipitridae
Bucorvus,Bucerotiformes,Bucorvidae
Eudocimus,Pelecaniformes,Threskiornithidae
Selasphorus,Apodiformes,Trochilidae
Nipponia,Pelecaniformes,Threskiornithidae
